	locality	noteDur	interNote	numbPulse	PulseDur	interpulse	pulseRate	note/min	domPeak	temp_air						
cur01	uai	0.038	0.022	2.0	0.012	0.014	53.0	987.7	4351.9	25.2						
cur02	uai	0.035	0.028	2.0	0.009	0.018	57.6	962.8	4313.1	25.2						
cur03	uai	0.038	0.026	2.0	0.011	0.015	52.4	895.6	4358.3	25.2						
cur04	uai	0.037	0.027	2.0	0.010	0.017	53.6	899.2	4565.0	25.2						
cur05	uai	0.038	0.030	2.0	0.008	0.021	53.2	913.9	4659.8	25.2						
cur06	uai	0.037	0.029	2.0	0.008	0.020	53.6	900.3	4670.6	25.2						
cur07	uai	0.028	0.024	2.0	0.007	0.014	71.0	1101.4	4596.1	24.0						
cur08	uai	0.028	0.027	2.0	0.006	0.016	70.6	991.4	4793.0	24.0						
cur09	uai	0.034	0.036	2.0	0.006	0.021	59.6	860.3	4429.7	24.0						
cur10	uai	0.035	0.025	2.0	0.008	0.018	56.7	1010.3	4173.1	25.2						
cur11	uai	0.040	0.021	2.0	0.012	0.015	50.2	990.3	4898.8	25.2						
cur12	uai	0.039	0.024	2.0	0.011	0.017	51.6	1059.0	4810.5	25.2						
cur13	uai	0.038	0.032	2.0	0.009	0.020	52.6	847.9	4875.1	25.2						
cur14	uai	0.037	0.032	2.0	0.009	0.018	54.5	912.5	4031.0	24.2						
cur15	uai	0.043	0.025	2.0	0.012	0.018	46.8	869.6	4209.7	24.2						
cur16	uai	0.040	0.037	2.0	0.011	0.019	50.6	821.1	4478.9	24.2						
cur17	uai	0.035	0.029	2.0	0.008	0.020	57.3	1017.9	4390.6	25.2						
cur18	uai	0.036	0.031	2.0	0.007	0.022	56.0	903.8	4550.0	25.2						
cur19	uai	0.038	0.022	2.0	0.013	0.013	52.7	1025.0	4711.4	25.2						
cur20	uai	0.038	0.036	2.0	0.008	0.023	52.8	853.3	4522.0	25.2						
cur21	uai	0.042	0.027	2.0	0.011	0.020	47.3	864.7	4478.9	24.2						
cur22	uai	0.037	0.028	2.0	0.010	0.018	53.6	932.4	4183.9	24.2						
cur23	uai	0.039	0.045	2.0	0.007	0.025	52.0	738.0	4752.4	24.2						
cipo01	uai	0.045	0.058	2.0	0.006	0.033	44.1	554.1	4821.3	23.0						
cipo02	uai	0.041	0.051	2.0	0.005	0.032	48.8	657.3	4565.0	23.0						
cipo03	uai	0.048	0.065	2.0	0.006	0.036	41.3	528.7	4834.2	23.0						
cipo04	uai	0.038	0.038	2.0	0.007	0.024	52.7	736.6	4700.7	23.0						
cipo05	uai	0.038	0.045	2.0	0.005	0.027	52.8	695.9	4750.2	23.0						
cipo06	uai	0.037	0.044	2.0	0.005	0.028	53.9	713.8	4832.0	23.0						
cipo07	uai	0.040	0.050	2.0	0.006	0.028	49.5	657.3	4739.5	23.0						
cipo08	uai	0.042	0.041	2	0.005	0.032	47.4	697.4	4800.0	20.5						
min01	mineira	0.087	0.121	2.0	0.009	0.070	23.5	282.1	3721.9	17.0						
min02	mineira	0.069	0.060	2.0	0.016	0.036	29.4	471.2	3726.6	24.0						
min03	mineira	0.071	0.065	2.0	0.010	0.049	28.1	440.8	4214.0	21.0						
min04	mineira	0.064	0.068	2.0	0.010	0.044	31.5	460.6	3776.9	21.0						
min05	mineira	0.070	0.063	2.0	0.011	0.047	28.5	447.8	3863.1	21.0						
min06	mineira	0.061	0.092	2.0	0.005	0.052	32.8	380.6	3714.5	21.0						
min07	mineira	0.067	0.062	2.0	0.011	0.044	30.0	473.5	3750.0	21.0						
min08	mineira	0.069	0.078	2.3	0.011	0.037	33.0	402.5	4031.2	21.0						
min09	mineira	0.064	0.063	2.0	0.009	0.045	31.5	485.1	3867.2	21.0						
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
