	locality	SVL	HL	HW	ED	IOD	END	ESD	IND	HAL	TL	TBL	TAL	FL
1570	mineira	13.8	3.2	4.6	1.5	1.4	1.1	2.1	1.1	3.6	6.5	6.9	3.6	6.8
1572	mineira	14.4	3.5	4.7	1.5	1.3	0.9	1.9	0.9	3.8	6.8	7.4	3.7	7.6
1573	mineira	13.8	3.4	4.7	1.6	1.4	1.1	2.1	1.0	3.7	6.4	7.2	3.6	7.3
1574	mineira	14.3	3.6	4.8	1.5	1.3	1.1	2.1	1.0	3.6	6.4	7.0	3.4	7.3
1575	mineira	14.4	3.4	4.8	1.5	1.4	1.1	2.0	1.0	3.8	6.7	7.4	3.6	7.4
1576	mineira	14.1	3.7	4.8	1.6	1.4	1.2	2.2	1.1	3.9	6.7	7.2	3.6	7.5
1577	mineira	14.4	3.5	4.9	1.5	1.5	1.0	2.0	1.1	3.8	6.4	7.1	3.7	7.6
1578	mineira	14.4	3.7	4.8	1.6	1.3	1.1	2.1	1.0	3.7	6.8	7.5	3.7	7.4
1579	mineira	13.8	3.6	4.5	1.5	1.4	1.1	2.1	1.1	4.0	7.1	7.5	3.7	7.7
1580	mineira	14.2	3.4	4.7	1.4	1.4	1.1	2.1	0.9	3.7	6.6	7.4	3.7	7.5
1581	mineira	14.3	3.7	4.8	1.5	1.5	1.2	2.1	1.1	3.8	6.6	7.3	3.7	7.4
1582	mineira	14.1	3.4	4.7	1.6	1.4	1.1	2.1	1.0	3.7	6.7	7.2	3.8	7.7
1583	mineira	14.1	3.6	4.8	1.6	1.5	1.0	2.0	1.1	3.8	6.8	7.2	3.7	7.5
1584	mineira	14.1	3.6	4.9	1.6	1.4	1.1	2.2	1.0	3.9	6.8	7.4	4.0	7.7
1585	mineira	13.5	3.5	4.5	1.4	1.3	1.1	2.1	1.1	3.9	6.5	7.0	3.6	7.5
1586	mineira	14.1	3.6	4.8	1.6	1.4	1.0	2.0	1.1	3.6	6.5	7.2	3.7	7.4
1587	mineira	14.5	3.8	4.9	1.7	1.5	1.1	2.1	1.0	3.9	6.8	7.5	4.0	7.8
1588	mineira	14.0	3.7	4.8	1.6	1.5	1.1	2.2	1.0	3.7	6.7	7.2	3.9	7.5
1589	mineira	14.2	3.4	4.7	1.5	1.4	1.1	2.1	1.1	4.0	6.6	7.4	3.8	7.4
1591	mineira	14.3	3.5	4.8	1.5	1.5	1.1	2.1	1.1	3.9	6.8	7.2	3.7	7.4
MZUSP56858	mineira	13.7	3.5	4.6	1.5	1.3	1.1	2.0	1.1	3.7	6.8	7.2	4.2	7.7
MZUSP56859	mineira	13.3	3.4	4.5	1.4	1.2	1.0	1.8	1.0	3.6	6.5	7.2	3.8	7.3
MZUSP56861	mineira	13.4	3.6	4.5	1.6	1.3	1.1	2.0	1.0	3.6	6.6	7.3	3.8	7.2
MZUSP56768	mineira	13.6	4.0	4.5	1.5	1.2	1.1	2.0	0.9	3.5	6.4	7.0	3.9	7.3
MZUSP56769	mineira	13.2	3.7	4.5	1.5	1.3	1.1	1.9	1.0	3.6	6.0	7.0	3.8	7.2
MZUSP56771	mineira	12.8	3.4	4.5	1.4	1.3	1.0	1.9	0.9	3.5	6.0	6.9	3.6	6.8
MZUSP56772	mineira	13.3	3.5	4.6	1.5	1.3	1.0	1.9	1.0	3.4	6.7	6.8	3.7	7.4
MZUSP56867	mineira	13.4	3.6	4.5	1.5	1.3	1.1	2.0	1.0	3.5	6.8	7.4	3.7	7.2
MZUSP57719	mineira	12.2	3.4	4.4	1.5	1.2	1.1	1.8	1.0	3.2	6.0	6.6	3.3	6.5
MZUSP57720	mineira	12.9	3.4	4.4	1.4	1.4	1.1	1.9	0.9	3.6	6.5	6.9	3.5	6.9
MZUSP57721	mineira	12.7	3.4	4.6	1.5	1.3	1.2	2.0	1.0	3.7	6.4	7.4	3.4	7.4
MZUSP57722	mineira	12.2	3.4	4.5	1.6	1.4	1.1	1.9	1.1	3.5	6.1	6.6	3.6	6.7
MZUSP57723	mineira	12.4	3.5	4.4	1.4	1.3	1.1	2.0	1.0	3.5	6.2	7.0	3.6	7.0
MZUSP57725	mineira	12.7	3.4	4.5	1.5	1.3	1.1	1.9	1.0	3.7	6.6	7.0	3.4	7.1
MZUSP57726	mineira	12.7	3.5	4.4	1.5	1.2	1.1	1.9	1.0	3.6	6.1	6.7	3.7	7.2
MZUSP57727	mineira	12.4	3.6	4.5	1.4	1.3	1.1	1.9	1.0	3.7	6.2	7.2	3.6	7.1
MZUSP57729	mineira	12.3	3.4	4.5	1.5	1.2	1.0	1.9	1.0	3.3	6.3	7.0	3.5	6.9
MZUSP57730	mineira	13.7	3.7	4.5	1.6	1.4	1.1	2.1	1.0	3.9	7.0	7.7	3.8	7.1
24302	uai	13.0	4.1	4.7	1.6	1.5	1.1	2.1	1.3	3.7	6.7	7.2	3.9	7.8
24303	uai	12.8	3.6	4.7	1.6	1.5	1.1	2.0	1.2	3.5	6.2	6.8	3.7	7.3
24304	uai	13.3	3.9	4.9	1.6	1.5	1.0	1.8	1.1	3.6	6.4	7.2	4.0	7.3
24305	uai	13.5	4.2	4.9	1.6	1.5	1.4	2.2	1.3	3.8	6.2	7.2	3.8	7.3
24306	uai	13.2	3.8	4.7	1.4	1.5	1.0	1.8	1.4	4.0	6.7	7.5	3.8	6.4
24308	uai	13.5	3.8	4.6	1.5	1.4	1.1	1.7	1.2	3.5	6.0	6.6	3.5	6.9
24309	uai	13.4	4.3	4.9	1.6	1.4	1.1	2.0	1.3	3.6	5.9	6.5	3.9	7.5
24310	uai	13.8	4.1	4.8	1.6	1.6	1.1	2.1	1.3	3.8	6.3	7.2	3.9	7.1
24313	uai	13.0	4.0	4.7	1.6	1.4	1.0	2.0	1.3	3.3	6.3	7.0	3.8	7.2
24315	uai	13.7	4.0	4.8	1.5	1.6	1.1	2.0	0.9	4.0	6.6	7.4	4.1	7.2
24316	uai	13.7	4.0	4.8	1.6	1.7	1.1	1.9	1.2	3.6	6.3	7.0	4.1	7.4
24317	uai	13.5	3.6	4.8	1.5	1.4	0.9	2.0	1.2	3.5	6.0	6.2	3.9	7.1
24318	uai	14.2	3.7	4.9	1.5	1.4	1.0	2.0	1.3	4.0	6.5	7.3	3.5	7.7
24324	uai	13.1	4.0	4.8	1.5	1.5	1.2	2.0	1.2	3.5	6.1	6.4	3.9	7.4
24327	uai	13.4	3.7	4.5	1.5	1.5	1.2	2.1	1.2	3.5	6.2	6.8	3.7	7.4
24329	uai	13.6	3.7	4.6	1.5	1.4	1.1	2.0	1.1	4.0	6.2	6.5	3.7	7.2
308	uai	14.3	4.1	4.8	1.5	1.2	1.1	2.0	1.1	3.6	6.2	6.9	3.4	7.2
386	uai	14.1	3.8	4.5	1.6	1.3	1.0	1.9	1.0	3.6	6.2	6.2	3.4	6.9
387	uai	13.1	3.9	4.5	1.5	1.2	1.0	2.0	1.1	3.5	6.1	6.5	3.4	6.9
														
														
														
														
														
														
														
														
														
														
														
														
														
														
